date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-07-04,sh.601601,29.7000,29.8000,30.3000,29.6800,19474811,584831845.0000,0.309778,1.907197,-0.930853
2018-07-05,sh.601601,30.0000,30.2500,30.7500,29.8600,25635569,778531175.0000,0.407775,1.935997,1.510070
2018-07-06,sh.601601,30.4400,31.3100,31.8100,30.1100,29610157,920156072.0000,0.470997,2.003836,3.504131
2018-07-09,sh.601601,31.3100,32.7300,32.8000,31.3000,22890636,741040753.0000,0.364112,2.094716,4.535293
2018-07-10,sh.601601,32.6700,32.5900,32.7300,32.1100,12030045,389731947.0000,0.191357,2.085756,-0.427740
2018-07-11,sh.601601,31.9000,32.0600,32.2300,31.7500,12528277,400813658.0000,0.199282,2.051836,-1.626262
2018-07-12,sh.601601,32.2000,33.3600,33.6100,32.1000,17766394,588930105.0000,0.282603,2.135036,4.054894
2018-07-13,sh.601601,33.5400,33.0200,33.5800,32.8500,10330086,342098521.0000,0.164317,2.113276,-1.019185
2018-07-16,sh.601601,33.0300,32.0500,33.1000,31.5000,24827755,791737026.0000,0.394925,2.051196,-2.937617
2018-07-17,sh.601601,31.8900,32.2700,32.3800,31.7600,13913210,446224774.0000,0.221312,2.065276,0.686431
2018-07-18,sh.601601,32.4300,31.8100,33.0700,31.8000,18434377,597631855.0000,0.293228,2.035836,-1.425476
2018-07-19,sh.601601,32.1000,32.4900,33.0100,32.0800,19114555,623313097.0000,0.304048,2.079356,2.137700
2018-07-20,sh.601601,32.4900,34.1500,34.8600,32.1500,29016797,976745322.0000,0.461558,2.185596,5.109263
2018-07-23,sh.601601,34.5500,35.0600,35.5000,34.1700,28151759,981930716.0000,0.447799,2.243836,2.664714
2018-07-24,sh.601601,34.9800,34.4200,36.2800,33.9700,41321918,1445674625.0000,0.657291,2.202876,-1.825451
2018-07-25,sh.601601,34.3600,34.5400,34.9700,34.1300,16736718,577995409.0000,0.266224,2.210556,0.348643
2018-07-26,sh.601601,34.5400,33.4900,34.6400,33.2300,23622765,795528456.0000,0.375758,2.143356,-3.039951
2018-07-27,sh.601601,33.5400,33.7500,33.8800,33.3600,14249653,479323174.0000,0.226663,2.159996,0.776346
2018-07-30,sh.601601,33.6000,33.7500,34.3100,33.1400,15589704,523505355.0000,0.247979,2.159996,0.000000
2018-07-31,sh.601601,33.5000,34.2300,34.4600,33.2000,17117394,581145281.0000,0.272279,2.190716,1.422221
2018-08-01,sh.601601,34.2800,33.1700,35.0000,33.1100,16138061,550682917.0000,0.256702,2.122876,-3.096703
2018-08-02,sh.601601,33.0900,31.8800,33.0900,31.5000,20532353,658388654.0000,0.326600,2.040316,-3.889054
2018-08-03,sh.601601,31.8100,31.9100,32.4900,31.7800,13992884,450101252.0000,0.222579,2.042236,0.094105
2018-08-06,sh.601601,32.4300,32.2700,33.0000,32.0000,18308667,594273292.0000,0.291229,2.065276,1.128175
2018-08-07,sh.601601,32.2800,33.3800,33.4500,32.2500,18002217,590926239.0000,0.286354,2.136316,3.439729
2018-08-08,sh.601601,32.7800,32.3200,32.9100,32.0100,16042202,521782150.0000,0.255177,2.068476,-0.798042
2018-08-09,sh.601601,32.1200,33.8900,34.1000,32.1000,20138549,675929206.0000,0.320336,2.168956,4.857672
2018-08-10,sh.601601,33.9600,33.8600,34.1300,33.3400,10117039,341200188.0000,0.160928,2.167036,-0.088518
2018-08-13,sh.601601,33.3500,33.3900,33.6000,32.3900,13683224,451449947.0000,0.217654,2.136956,-1.388072
2018-08-14,sh.601601,33.3200,33.4500,33.7600,33.0000,9895387,329937487.0000,0.157402,2.140796,0.179699
2018-08-15,sh.601601,33.3000,32.1400,33.3600,31.9600,14284948,465742953.0000,0.227225,2.056956,-3.916297
2018-08-16,sh.601601,31.6200,32.5300,33.1300,31.5100,14229135,462996109.0000,0.226337,2.081916,1.213439
2018-08-17,sh.601601,32.7500,32.7600,33.3600,32.7200,18541439,613338038.0000,0.294931,2.096636,0.707038
